Word,Zipf-value,,
abraded,2.0699853925281,,
abraid,1.59286413780844,,
abrasion,2.57058774309729,,
abrasions,3.04770899781695,,
abrasive,2.67204538385607,,
abrasiveness,1.76895539686412,,
abrasives,1.99080414648048,,
abreaction,1.59286413780844,,
abreast,2.72319790630345,,
abridge,1.59286413780844,,
abridged,2.29183414214446,,
abridgement,1.59286413780844,,
abridging,1.76895539686412,,
abroad,3.6915078636255,,
abrogate,1.59286413780844,,
abrogated,1.76895539686412,,
abrogating,1.59286413780844,,
abrupt,3.0626861537866,,
abruption,2.13693218215872,,
abruptly,2.95459197382603,,
abruptness,1.99080414648048,,
abs,3.0321968316387,,
abscess,2.70680749011528,,
abscessed,1.89389413347242,,
abscesses,2.1949241291364,,
abscond,2.0699853925281,,
absconded,2.0699853925281,,
absconder,1.59286413780844,,
absconders,1.76895539686412,,
absconding,1.89389413347242,,
abseiling,1.59286413780844,,
absence,3.80103666447556,,
absences,2.46792540120014,,
absent,3.41240807335031,,
absentee,2.57058774309729,,
absenteeism,2.0699853925281,,
absentees,1.99080414648048,,
absentia,2.29183414214446,,
absenting,1.76895539686412,,
absentminded,1.89389413347242,,
absentmindedness,1.59286413780844,,
absinthe,2.75423214004342,,
absinthes,1.89389413347242,,
absinthium,1.59286413780844,,
absit,1.59286413780844,,
absolute,4.05376198056499,,
absolutely,5.05300995530019,,
absoluteness,1.59286413780844,,
absolutes,2.63425682296667,,
absolution,2.98203022217297,,
absolve,2.76895539686412,,
absolved,2.49595412480038,,
absolver,1.99080414648048,,
absolves,1.99080414648048,,
absolving,2.0699853925281,,
absorb,3.30043431390638,,
absorbed,3.1894612334349,,
absorbent,2.24607665158378,,
absorber,1.89389413347242,,
absorbers,2.24607665158378,,
absorbing,2.67204538385607,,
absorbs,2.70680749011528,,
absorbtion,1.89389413347242,,
absorption,2.57058774309729,,
absorptions,1.59286413780844,,
abstain,2.72319790630345,,
abstained,1.99080414648048,,
abstainers,1.59286413780844,,
abstaining,2.24607665158378,,
abstains,1.76895539686412,,
abstention,2.13693218215872,,
abstentions,1.59286413780844,,
abstinence,2.95459197382603,,
abstinent,1.89389413347242,,
abstract,3.34105216481464,,
abstracted,1.89389413347242,,
abstracting,1.59286413780844,,
abstraction,2.49595412480038,,
abstractionist,1.59286413780844,,
abstractions,2.0699853925281,,
abstractly,1.76895539686412,,
abstracts,2.1949241291364,,
abstruse,1.89389413347242,,
absurd,3.98731581863466,,
absurdist,1.59286413780844,,
absurdities,2.13693218215872,,
absurdity,2.81034808202235,,
absurdly,2.49595412480038,,
abt,2.37101538819208,,
abulia,1.59286413780844,,
abundance,2.95459197382603,,
abundant,2.76895539686412,,
abundantly,2.63425682296667,,
abuse,4.01116542912819,,
abused,3.65732212703536,,
abuser,2.52228306352273,,
abusers,2.37101538819208,,
abuses,2.70680749011528,,
abusing,3.08422583164271,,
abusive,3.21611342820634,,
abusiveness,1.59286413780844,,
abut,2.13693218215872,,
abutment,2.13693218215872,,
abutments,1.59286413780844,,
abuts,1.76895539686412,,
abutting,1.59286413780844,,
abuzz,1.76895539686412,,
abysmal,2.63425682296667,,
abysmally,1.59286413780844,,
abyss,3.25087553446555,,
abyssal,1.59286413780844,,
abysses,1.76895539686412,,
abyssinian,2.29183414214446,,
abyssus,1.99080414648048,,
ac,3.33715712093112,,
